                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1405,                0.74907,                 1.2282,                0.74569,                0.72376,                0.77689,                0.45844,                 1.4719,                0.94729,                 1.3083,                0.00046,                0.00046,                0.00046
                     37,                 1.1617,                0.71661,                 1.2119,                0.74993,                0.70117,                0.76462,                0.46571,                 1.4358,                0.92606,                 1.2948,               0.000416,               0.000416,               0.000416
                     38,                 1.1351,                0.69813,                 1.2046,                0.74219,                0.72085,                0.77649,                 0.4768,                 1.4255,                0.93183,                 1.2814,               0.000372,               0.000372,               0.000372
                     39,                 1.1357,                0.67007,                 1.1932,                0.76033,                0.70059,                0.77238,                0.46498,                 1.4454,                0.99185,                 1.2984,               0.000328,               0.000328,               0.000328
                     40,                  1.114,                 0.6786,                  1.206,                0.74642,                0.71552,                0.77884,                0.47799,                 1.4292,                0.90879,                 1.2851,               0.000284,               0.000284,               0.000284
                     41,                 1.1015,                0.64589,                 1.1941,                0.73846,                0.69169,                0.76418,                 0.4706,                 1.4151,                0.92586,                 1.2752,                0.00024,                0.00024,                0.00024
                     42,                 1.0841,                0.64953,                 1.1839,                0.74296,                0.71283,                0.77485,                0.47816,                 1.4172,                0.91577,                  1.275,               0.000196,               0.000196,               0.000196
                     43,                 1.0965,                0.64782,                 1.1841,                 0.7446,                 0.7129,                0.77927,                0.48001,                 1.4186,                0.91024,                 1.2783,               0.000152,               0.000152,               0.000152
                     44,                 1.0802,                0.64607,                 1.1811,                0.75272,                0.70955,                0.77898,                0.47974,                 1.4241,                0.92014,                 1.2834,               0.000108,               0.000108,               0.000108
                     45,                 1.0713,                0.64006,                 1.1814,                0.75365,                0.70462,                0.77815,                0.48042,                 1.4127,                0.91614,                 1.2776,                6.4e-05,                6.4e-05,                6.4e-05
